Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0
1975,114254.80809038485,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1976,114254.80809038485,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1977,117950.80555254073,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1978,125504.50555254072,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1979,133058.20555254072,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1980,140611.90555254073,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1981,148165.60555254074,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1982,154409.62216008804,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1983,157817.57288684868,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1984,157817.57288684868,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1985,157817.57288684868,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1986,150707.17402123546,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1987,141381.6184656799,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1988,132056.06291012434,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1989,122730.50735456878,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1990,113404.95179901322,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1991,104487.01680948524,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1992,96308.3894964927,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1993,89569.68794025756,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1994,87452.69455920161,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1995,87164.63739019576,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1996,86336.49658306722,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1997,86336.49658306722,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1998,86336.49658306722,10000.000000000002,0.0,0.0,0.0,0.0,0.0
1999,86336.49658306722,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2000,86336.49658306722,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2001,93142.50262037199,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2002,100696.20262037199,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2003,108249.90262037198,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2004,115803.60262037198,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2005,123357.30262037198,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2006,130911.00262037198,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2007,137132.64551946064,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2008,138593.60028321075,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2009,138593.60028321075,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2010,135709.57648622314,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2011,128087.48501184111,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2012,120472.32477137193,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2013,112670.99118298008,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2014,106044.38989791596,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2015,102234.20793091912,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2016,99518.47044168341,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2017,98793.27104832718,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2018,98234.23352175369,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2019,98234.23352175369,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2020,98234.23352175369,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2021,98234.23352175369,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2022,97981.61235273379,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2023,97626.33300447062,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2024,95969.171163816,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2025,95969.171163816,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2026,95969.171163816,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2027,95969.171163816,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2028,101670.00827773577,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2029,108109.73149099172,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2030,112535.05978532041,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2031,113169.29457657303,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2032,113169.29457657303,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2033,110794.00063478433,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2034,101468.44507922877,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2035,92142.8895236732,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2036,82817.33396811764,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2037,74393.98035466623,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2038,68338.71002074551,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2039,63421.66418649299,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2040,59815.56024119257,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2041,58597.89573302897,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2042,58597.89573302897,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2043,58597.89573302897,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2044,58597.89573302897,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2045,56707.07631071098,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2046,54047.145503126056,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2047,47818.83670346007,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2048,40247.32065765749,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2049,36881.54739323684,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2050,36881.54739323684,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2051,36881.54739323684,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2052,38112.3194785554,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2053,39018.04971355731,10000.000000000002,0.0,0.0,0.0,0.0,0.0
