Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0
25,241303.46220732867,48690.000000000015,0.0,0.0,4.267998306284954e6,1.0612779335553564e7,2.867928391475282e7
26,242729.95790005825,48690.000000000015,0.0,0.0,4.266429297907172e6,1.0611222360073427e7,2.8680879249364052e7
27,244156.45359278782,50220.000000000015,0.0,0.0,4.264829665409902e6,1.0609663379947176e7,2.868268981996295e7
28,245582.9492855174,50220.000000000015,0.0,0.0,4.26324137250654e6,1.0608108414161742e7,2.868472359562897e7
29,247009.44497824696,50220.000000000015,0.0,0.0,4.261652616979158e6,1.0606527231813772e7,2.8686789954868488e7
30,248435.94067097653,50220.000000000015,0.0,0.0,4.260025135946682e6,1.0604881067178082e7,2.8688434511272173e7
31,249862.4363637061,50220.000000000015,0.0,0.0,4.25827215872395e6,1.0603106333522998e7,2.86887035649006e7
32,251288.93205643567,50220.000000000015,0.0,0.0,4.256348200536158e6,1.0601167637046577e7,2.8687326476251986e7
33,252715.42774916525,50220.000000000015,0.0,0.0,4.2543639986566035e6,1.0599163576092396e7,2.868539077731653e7
34,252829.9890237138,50220.000000000015,0.0,0.0,4.252359573174488e6,1.059713966498555e7,2.8681089724117767e7
35,252944.55029826236,50220.000000000015,0.0,0.0,4.250347654921693e6,1.0595107956662698e7,2.86767864867214e7
36,253059.1115728109,50220.000000000015,0.0,0.0,4.248382940957399e6,1.0593074886673726e7,2.8672645824757732e7
37,251554.00072614837,50220.000000000015,0.0,0.0,4.246438530558445e6,1.059106413173244e7,2.8668694107303455e7
38,251668.56200069693,50220.000000000015,0.0,0.0,4.244446927070116e6,1.0589050845147192e7,2.8664865342792463e7
39,251530.62606633888,50220.000000000015,0.0,0.0,4.2423961891271025e6,1.0587023955476055e7,2.866106561181298e7
40,250025.51521967634,50220.000000000015,0.0,0.0,4.240287684863724e6,1.0584996088193428e7,2.8656944367944658e7
41,248520.4043730138,50220.000000000015,0.0,0.0,4.238119761311086e6,1.058300066680457e7,2.865185826713812e7
42,248634.96564756235,50220.000000000015,0.0,0.0,4.235913018919437e6,1.058104934034811e7,2.8646245203699283e7
43,247129.8548008998,50220.000000000015,0.0,0.0,4.233665230627486e6,1.0579116075260567e7,2.8642313423570335e7
44,247244.41607544836,50220.000000000015,0.0,0.0,4.231426351149143e6,1.0577194754961371e7,2.863861201714529e7
