Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0
114,133488.5112614754,5.241446540167712e6,0.0,0.0,0.0,0.0,0.0
115,133525.67498070074,5.243583235213444e6,0.0,0.0,0.0,0.0,0.0
116,133562.8386999261,5.245719930259176e6,0.0,0.0,0.0,0.0,0.0
117,133600.00241915145,5.247856625304908e6,0.0,0.0,0.0,0.0,0.0
118,133637.1661383768,5.2499933203506395e6,0.0,0.0,0.0,0.0,0.0
119,133674.32985760216,5.2521300153963715e6,0.0,0.0,0.0,0.0,0.0
120,133711.49357682752,5.254266710442103e6,0.0,0.0,0.0,0.0,0.0
121,133748.65729605287,5.256403405487835e6,0.0,0.0,0.0,0.0,0.0
122,133785.82101527823,5.258540100533567e6,0.0,0.0,0.0,0.0,0.0
123,133822.98473450358,5.260676795579299e6,0.0,0.0,0.0,0.0,0.0
124,133860.14845372894,5.262813490625031e6,0.0,0.0,0.0,0.0,0.0
125,133897.3121729543,5.264950185670763e6,0.0,0.0,0.0,0.0,0.0
126,133934.47589217965,5.267086880716495e6,0.0,0.0,0.0,0.0,0.0
127,133971.639611405,5.269223575762227e6,0.0,0.0,0.0,0.0,0.0
128,134008.80333063036,5.271360270807959e6,0.0,0.0,0.0,0.0,0.0
129,134045.9670498557,5.273496965853691e6,0.0,0.0,0.0,0.0,0.0
130,134083.13076908106,5.275633660899423e6,0.0,0.0,0.0,0.0,0.0
131,134120.29448830642,5.277770355945155e6,0.0,0.0,0.0,0.0,0.0
132,134157.45820753177,5.279907050990887e6,0.0,0.0,0.0,0.0,0.0
133,134194.62192675713,5.282043746036619e6,0.0,0.0,0.0,0.0,0.0
134,134231.78564598248,5.284180441082351e6,0.0,0.0,0.0,0.0,0.0
135,134268.94936520784,5.286317136128083e6,0.0,0.0,0.0,0.0,0.0
136,134306.1130844332,5.288453831173815e6,0.0,0.0,0.0,0.0,0.0
137,134343.27680365855,5.290590526219547e6,0.0,0.0,0.0,0.0,0.0
138,134380.4405228839,5.292727221265279e6,0.0,0.0,0.0,0.0,0.0
139,134417.60424210926,5.294863916311011e6,0.0,0.0,0.0,0.0,0.0
140,134454.7679613346,5.297000611356743e6,0.0,0.0,0.0,0.0,0.0
141,134491.93168055997,5.299137306402475e6,0.0,0.0,0.0,0.0,0.0
142,134529.09539978532,5.301274001448207e6,0.0,0.0,0.0,0.0,0.0
143,134566.25911901068,5.303410696493939e6,0.0,0.0,0.0,0.0,0.0
144,134603.42283823603,5.3055473915396705e6,0.0,0.0,0.0,0.0,0.0
145,134640.58655746139,5.3076840865854025e6,0.0,0.0,0.0,0.0,0.0
146,134677.75027668674,5.309820781631134e6,0.0,0.0,0.0,0.0,0.0
147,134714.9139959121,5.311957476676866e6,0.0,0.0,0.0,0.0,0.0
148,134752.07771513745,5.314094171722598e6,0.0,0.0,0.0,0.0,0.0
149,134789.2414343628,5.31623086676833e6,0.0,0.0,0.0,0.0,0.0
150,134826.40515358816,5.318367561814062e6,0.0,0.0,0.0,0.0,0.0
151,134863.5688728135,5.320504256859794e6,0.0,0.0,0.0,0.0,0.0
152,134900.73259203887,5.322640951905526e6,0.0,0.0,0.0,0.0,0.0
153,134937.89631126422,5.324777646951258e6,0.0,0.0,0.0,0.0,0.0
154,134975.06003048958,5.32691434199699e6,0.0,0.0,0.0,0.0,0.0
155,135012.22374971493,5.329051037042722e6,0.0,0.0,0.0,0.0,0.0
156,135049.3874689403,5.331187732088454e6,0.0,0.0,0.0,0.0,0.0
157,135086.55118816564,5.333324427134186e6,0.0,0.0,0.0,0.0,0.0
158,135123.714907391,5.335461122179918e6,0.0,0.0,0.0,0.0,0.0
159,135160.87862661635,5.33759781722565e6,0.0,0.0,0.0,0.0,0.0
160,135198.0423458417,5.339734512271382e6,0.0,0.0,0.0,0.0,0.0
