Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0,DKW1,DKE1
75,287185.464047626,54810.000000000015,0.0,0.0,4.215690898244446e6,1.0522256970862467e7,2.8694955767880008e7,0.0,0.0
76,288611.95974035555,54810.000000000015,0.0,0.0,4.213935017149143e6,1.052090481670593e7,2.8699514254907362e7,0.0,0.0
77,290038.4554330851,54810.000000000015,0.0,0.0,4.212071762714861e6,1.051951276471486e7,2.8704005474944755e7,0.0,0.0
78,291464.95112581464,54810.000000000015,0.0,0.0,4.210069999807103e6,1.0518018314460129e7,2.8708061357490547e7,0.0,0.0
79,292891.4468185442,54810.000000000015,0.0,0.0,4.207815624850686e6,1.0516338092250211e7,2.8710736512705546e7,0.0,0.0
80,294317.9425112737,54810.000000000015,0.0,0.0,4.205274346931304e6,1.0514430291044757e7,2.8711873403616086e7,0.0,0.0
81,295744.43820400327,54810.000000000015,0.0,0.0,4.202632722045562e6,1.0512402724175788e7,2.871258378677978e7,0.0,0.0
82,297170.9338967328,54810.000000000015,0.0,0.0,4.199987576032242e6,1.051032183155779e7,2.871341490340416e7,0.0,0.0
83,298597.42958946235,54810.000000000015,0.0,0.0,4.198900366409991e6,1.0508213871082177e7,2.871273648052717e7,0.0,0.0
84,300023.9252821919,54810.000000000015,0.0,0.0,4.196306172368911e6,1.0506093008080527e7,2.8713789341257878e7,0.0,0.0
85,301450.42097492144,54810.000000000015,0.0,0.0,4.193753699027851e6,1.0503973995646646e7,2.871505882955987e7,0.0,0.0
86,302876.916667651,54810.000000000015,0.0,0.0,4.1912103346716575e6,1.0501826475518936e7,2.8716421908912867e7,0.0,0.0
87,304303.4123603805,54810.000000000015,0.0,0.0,4.188674189429422e6,1.0499644481262706e7,2.8717787368491475e7,0.0,0.0
88,305729.90805311006,54810.000000000015,0.0,0.0,4.1861522159340517e6,1.049743957936504e7,2.8719058113284543e7,0.0,0.0
89,307156.4037458396,54810.000000000015,0.0,0.0,4.183655023348753e6,1.0495237636493472e7,2.8720043833634038e7,0.0,0.0
