Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0,DKW1,DKE1
35,241631.12708250672,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
36,232305.57152695116,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
37,222980.0159713956,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
38,213654.46041584003,5140.000000000002,0.0,26380.000000000004,0.0,0.0,0.0,0.0,0.0
39,204328.90486028447,5140.000000000002,0.0,26334.933862836122,0.0,0.0,0.0,0.0,0.0
40,195003.3493047289,5140.000000000002,0.0,25987.481575692065,0.0,0.0,0.0,0.0,0.0
41,185677.79374917335,5140.000000000002,0.0,25490.111930407216,0.0,0.0,0.0,0.0,0.0
42,176352.23819361778,5140.000000000002,0.0,25469.57564775494,0.0,0.0,0.0,0.0,0.0
43,167026.68263806222,5140.000000000002,0.0,24728.359175833957,0.0,0.0,0.0,0.0,0.0
44,157701.12708250666,5140.000000000002,0.0,21446.136953611734,0.0,0.0,0.0,0.0,0.0
45,148375.5715269511,5140.000000000002,0.0,18163.914731389512,0.0,0.0,0.0,0.0,0.0
46,139050.01597139554,5140.000000000002,0.0,14881.69250916729,0.0,0.0,0.0,0.0,0.0
47,129724.46041583999,5140.000000000002,0.0,11599.470286945067,0.0,0.0,0.0,0.0,0.0
48,120398.90486028443,5140.000000000002,0.0,9462.99908308455,0.0,0.0,0.0,0.0,0.0
49,112592.47062564593,5140.000000000002,0.0,9462.99908308455,0.0,0.0,0.0,0.0,0.0
50,112592.47062564593,5140.000000000002,0.0,9462.99908308455,0.0,0.0,0.0,0.0,0.0
51,112592.47062564593,5140.000000000002,0.0,12121.599083084551,0.0,0.0,0.0,0.0,0.0
52,115551.10273726976,5140.000000000002,0.0,14615.505533779222,0.0,0.0,0.0,0.0,0.0
53,121598.7666878558,5140.000000000002,0.0,14771.120935110712,0.0,0.0,0.0,0.0,0.0
54,129152.46668785579,5140.000000000002,0.0,17429.720935110712,0.0,0.0,0.0,0.0,0.0
55,136706.1666878558,5140.000000000002,0.0,20088.32093511071,0.0,0.0,0.0,0.0,0.0
56,144259.8666878558,5140.000000000002,0.0,22746.92093511071,0.0,0.0,0.0,0.0,0.0
57,150851.54452905498,5140.000000000002,0.0,22746.92093511071,0.0,0.0,0.0,0.0,0.0
58,158405.244529055,5140.000000000002,0.0,22746.92093511071,0.0,0.0,0.0,0.0,0.0
59,165958.944529055,5140.000000000002,0.0,22746.92093511071,0.0,0.0,0.0,0.0,0.0
60,173512.64452905502,5140.000000000002,0.0,22746.92093511071,0.0,0.0,0.0,0.0,0.0
61,181066.34452905503,5140.000000000002,0.0,22746.92093511071,0.0,0.0,0.0,0.0,0.0
62,188620.04452905504,5140.000000000002,0.0,22746.92093511071,0.0,0.0,0.0,0.0,0.0
63,194183.71554148497,5140.000000000002,0.0,21783.492316484648,0.0,0.0,0.0,0.0,0.0
64,196842.0851857637,5140.000000000002,0.0,19681.328575467043,0.0,0.0,0.0,0.0,0.0
