,Node,Generator_ID,Parameter,Category,Case,Scenario,Year,Climate Year,Value,Simulation_ID,Node 1,Path,Simulation_type,Sector,Note
104,SE04,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,37768.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
105,SI00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,1891.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
106,SK00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,2810.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
107,TR00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,106258.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
108,UA01,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,524.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
109,UK00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,82674.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
110,UKNI,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,9532.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
111,AL00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,2226.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
112,AT00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,35140.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
113,BA00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,4442.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
114,BE00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,16995.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
115,BG00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,17132.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
116,CH00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,17608.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
117,CY00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,2728.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
118,CZ00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,17463.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
119,DE00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,136753.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
120,DKE1,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,1942.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
