Timestep,Lambda value FC Submodel 1
219,96.26363637607271
220,96.26363637607271
221,96.26363637607271
222,96.26363637607271
223,96.4636
224,130.6125
225,130.4125
226,101.9836
227,101.5836
228,101.5836
229,101.5836
230,101.5836
231,101.9836
232,101.9836
233,101.9836
234,101.9836
235,101.5836
236,96.26363637607271
237,96.0636
238,96.0636
239,96.0636
240,96.0636
241,14.3273
242,14.3273
243,14.3273
244,14.3273
245,14.3273
246,14.5273
247,96.0636
248,96.0636
249,96.26363637607271
250,96.0636
251,96.0636
252,96.0636
253,96.2636
254,96.26363637607271
255,96.26363637607271
256,96.4636
257,130.2125
258,101.5836
259,96.4636
260,96.26363637607271
261,96.26363637607271
262,96.0636
263,96.0636
264,14.5273
265,14.3273
266,13.9273
267,13.9273
268,0.0
269,0.0
270,0.0
271,0.0
272,13.7273
273,13.9273
274,13.7273
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,13.9273
282,13.9273
283,14.3273
284,14.3273
285,14.3273
286,14.3273
287,14.3273
288,14.3273
289,14.3273
290,13.9273
291,0.2
292,0.2
293,0.2
294,0.4
295,0.4
296,0.4
297,0.4
298,0.4
299,13.9273
300,13.9273
301,13.9273
302,13.9273
303,14.3273
304,14.3273
305,14.3273
306,96.0636
307,96.2636
308,96.26363637607271
309,96.26363637607271
310,96.26363637607271
311,96.26363637607271
312,96.26363637607271
313,96.26363637607271
314,96.26363637607271
315,96.26363637607271
316,96.26363637607271
317,96.26363637607271
318,96.26363637607271
319,96.26363637607271
320,96.4636
321,96.4636
322,96.26363637607271
323,96.26363637607271
324,96.26363637607271
325,96.26363637607271
326,96.26363637607271
327,96.26363637607271
328,96.6636
329,101.9836
330,101.9836
331,130.6125
332,130.6125
333,130.6125
334,130.6125
335,130.4125
336,101.9836
337,101.9836
338,101.9836
339,101.9836
340,101.9836
341,101.9836
342,130.6125
343,131.7625
344,131.7625000171
345,131.7625000171
346,131.7625
347,130.4125
348,101.5836
349,101.5836
350,131.3625
351,131.7625000171
352,131.7625000171
353,131.7625000171
354,131.7625000171
355,96.4636
356,96.26363637607271
357,96.26363637607271
358,96.26363637607271
359,96.26363637607271
360,96.26363637607271
361,96.26363637607271
362,96.26363637607271
363,96.26363637607271
364,96.26363637607271
365,96.26363637607271
366,96.4636
367,101.5836
368,131.3625
369,96.4636
370,96.26363637607271
371,96.26363637607271
372,96.26363637607271
373,96.4636
374,101.5836
375,131.3625
376,131.7625000171
377,131.7625000171
378,131.5625
379,131.3625
380,131.3625
381,101.5836
382,101.5836
383,101.5836
384,101.5836
385,101.5836
386,101.5836
387,101.5836
388,96.4636
389,101.5836
390,101.9836
391,130.4125
392,131.5625
393,131.3625
394,101.5836
395,96.4636
396,96.4636
397,96.4636
398,101.5836
399,131.7625000171
400,131.7625000171
401,131.7625000171
402,131.7625000171
403,101.5836
404,96.4636
405,96.26363637607271
406,96.26363637607271
407,96.26363637607271
408,96.0636
409,95.8636
410,14.3273
411,14.3273
412,14.3273
413,14.3273
414,14.5273
415,14.5273
416,14.3273
417,14.3273
418,14.3273
419,14.3273
420,13.9273
421,13.9273
422,13.9273
423,13.9273
424,13.9273
425,13.9273
426,13.9273
427,13.9273
428,13.9273
429,13.9273
430,14.3273
431,14.3273
432,14.3273
433,14.1273
434,13.9273
435,13.9273
436,13.9273
437,14.3273
438,14.3273
439,14.3273
440,14.3273
441,14.1273
442,13.9273
443,0.0
444,0.0
445,13.9273
446,14.3273
447,14.3273
448,14.3273
449,14.3273
450,14.3273
451,14.3273
452,14.3273
453,14.3273
454,14.1273
455,13.9273
