Timestep,Real trade demand focus country
254,900.0
255,900.0
256,1982.2689174867398
257,3639.263993662727
258,2775.9482460746517
259,1758.9036738744344
260,2900.0
261,3300.0
262,2796.307944611964
263,1647.0042359076824
264,879.91879769461
265,-474.23874686041927
266,-2120.084373642654
267,-3323.2964367764243
268,-4775.39063329066
269,-3400.0
270,-3500.0
271,-4300.0
272,-5793.214858234549
273,-6464.3612392888335
274,-7100.0
275,-7100.0
276,-7100.0
277,-7100.0
278,-7100.0
279,-7100.0
280,-7100.0
281,-7100.0
282,-5596.347960341167
283,-4180.165446970318
284,-3097.84858256768
285,-2890.849431407926
286,-1832.4586146152915
287,-1120.4411036990823
288,-1122.9364534521392
289,58.630680436940565
290,-1307.020565166693
291,-2931.3410058059853
292,-2625.9975268204207
293,-2676.9201905136315
294,-2852.9445264959877
295,-2650.1427872738413
296,-1152.6278299587693
297,-810.4452972064167
298,-1341.9878399677627
299,-739.5295861695622
300,-38.95435644461986
301,316.4603224895891
302,1198.302679421176
303,2308.8859691312286
304,2568.315424633001
305,2399.7695739678825
306,4152.642391657544
307,5042.957956148853
308,5100.0
309,5300.0
310,5600.0
311,5600.0
312,5600.0
313,4400.0
314,5000.0
315,5100.0
316,4500.0
317,4300.0
318,4300.0
319,4906.773130374788
320,5565.497645022079
321,5475.295949786309
322,4300.0
323,4300.0
324,4300.0
325,4300.0
326,4300.0
327,4300.0
328,6410.5937200603885
329,7606.672851925203
330,7933.0125432296045
331,7895.081693748665
332,7603.915478570957
333,7190.493705284728
334,7323.261757385357
335,7157.195509418295
336,6416.919469067784
337,6569.6825057418555
338,5804.539653619891
339,5559.8753177122
340,5441.647372780374
341,5803.1207843912225
342,6563.760453252054
343,7299.730786303578
344,7420.590128068493
345,6000.0
346,6292.160430289226
347,4908.63719059
348,3667.898934318697
349,3436.3966235893295
350,3939.8111275978317
351,4700.0
352,2000.0
353,1900.0
354,1900.0
355,1900.0
356,900.0
357,900.0
358,900.0
359,900.0
360,900.0
361,1300.0
362,1390.3667444983848
363,1769.474481886945
364,1600.0
365,1000.0
366,1777.422741822119
367,2478.4630245524595
368,2683.4550294515975
369,1806.957271689567
370,900.0
371,900.0
372,900.0
373,1773.7364145982674
374,2781.5721658807524
375,3936.711701506084
376,4500.0
377,4700.0
378,4709.305763612764
379,3126.863086896844
380,2624.092556738783
381,2896.3461716722477
382,3937.759337078209
383,4596.36695063289
384,4211.606383640407
385,4306.540217770487
386,4290.737222734613
387,4381.10894563982
388,4026.3288054085288
389,4373.631157666865
390,5172.199295881085
391,5570.132791329412
392,5677.193047723116
393,4505.157059378894
394,2520.8900180574506
395,1581.062608094523
396,1866.2762704794986
397,1572.618493398757
398,2870.912209146186
399,4979.54580807761
400,3700.0
401,3900.0
402,3300.0
403,2637.5636491511577
404,190.8241272681862
405,1100.0
406,2100.0
407,2900.0
408,1766.971075862206
409,57.016905207893615
410,-579.5077267035504
411,-664.9507533712531
412,-1636.8771295995803
413,-1984.096873174215
414,-497.92629413615214
415,-927.2175435593163
416,-2117.1627933576456
417,-2519.1944789413947
418,-3162.9583845582965
419,-3933.085946463242
420,-5162.628606168191
421,-5808.286102222787
422,-6059.211546201829
423,-6397.485829146042
424,-6977.269425920976
425,-6850.598650602547
426,-6916.950200661868
427,-7100.0
428,-7100.0
429,-6523.463298817374
430,-4733.639184059884
431,-3359.140932454211
432,-3101.455346559769
433,-4391.792281870157
434,-4930.115773949579
435,-5313.798037837736
436,-4389.988903022147
437,-3816.306950320739
438,-2086.4772272299306
439,-519.0376399291217
440,-1246.776937157044
441,-4614.692891950311
442,-7100.0
443,-7100.0
444,-7100.0
445,-5238.770899544802
446,-3988.7249019896353
447,-3257.3150975124113
448,-3243.0222886059582
449,-1686.3424288306262
