Timestep,Real trade demand focus country
253,2418.18094008206
254,900.0
255,900.0
256,1981.7264134873244
257,3638.922556198224
258,2775.8390109932875
259,1758.5932285318977
260,2900.0
261,3300.0
262,2794.5079555209927
263,1645.8922671182086
264,878.7518897807258
265,-475.6821747065828
266,-2121.9576351227533
267,-3325.876497851017
268,-4778.707400786441
269,-3400.0
270,-3500.0
271,-4300.0
272,-5800.349620283321
273,-6472.547120612896
274,-7100.0
275,-7100.0
276,-7100.0
277,-7100.0
278,-7100.0
279,-7100.0
280,-7100.0
281,-7100.0
282,-5604.2014366649855
283,-4187.390734020062
284,-3104.0392718862886
285,-2895.9361199224913
286,-1837.13984673502
287,-1124.6587813752421
288,-1126.8868287390824
289,54.25579482246121
290,-1310.6689871453855
291,-2934.378009264893
292,-2629.2269680515365
293,-2680.372255092373
294,-2856.7523178704314
295,-2654.1251893794106
296,-1156.4271926156475
297,-814.414545051773
298,-1346.830157579288
299,-745.1046173325112
300,-44.56043215365071
301,310.7346253966457
302,1192.4226979009577
303,2304.2739931414003
304,2566.1988422148347
305,2398.7770315041203
306,4151.137659048662
307,5041.484321934722
308,5100.0
309,5300.0
310,5700.0
311,5700.0
312,5600.0
313,4400.0
314,5000.0
315,5100.0
316,4500.0
317,4300.0
318,4300.0
319,4906.74474171916
320,5565.669359516001
321,5474.561416660476
322,4300.0
323,4300.0
324,4300.0
325,4300.0
326,4300.0
327,4300.0
328,6410.493334674892
329,7607.325028048111
330,7933.552539050351
331,7895.49660846707
332,7604.258410965335
333,7190.782427716669
334,7323.481976815781
335,7157.3348917987705
336,6416.980667661081
337,6569.662833566687
338,5804.45972235085
339,5559.685942976071
340,5441.472951500466
341,5803.017330391294
342,6563.825490885132
343,7299.865999290299
344,7420.800201990925
345,7151.537148892447
346,6289.7211761021135
347,4904.081211804183
348,3661.579206695087
349,3430.1133479134805
350,3934.603784021496
351,4300.0
352,2000.0
353,1900.0
354,1900.0
355,1900.0
356,900.0
357,900.0
358,900.0
359,900.0
360,900.0
361,1300.0
362,1387.1883490427344
363,1766.1761759124083
364,1600.0
365,1000.0
366,1773.9890948361153
367,2475.1340891471473
368,2680.1903659302798
369,1802.0080351109937
370,900.0
371,900.0
372,900.0
373,1766.8964233498673
374,2775.896407423442
375,3933.1013873215143
376,4500.0
377,5300.0
378,4706.091148401789
379,3123.4409222563845
380,2621.0636593398995
381,2893.753355715454
382,3935.7788380930356
383,4595.203865404719
384,4211.3645127324635
385,4306.566594625449
386,4290.7043894857925
387,4380.857760163322
388,4025.991774797225
389,4372.969317207337
390,5171.02441682059
391,5568.47061685536
392,5675.278914848517
393,4501.733103968103
394,2515.1856955711387
395,1574.1110469236446
396,1859.1372103815456
397,1566.6703196774424
398,2866.2105576496233
399,4976.55634050212
400,3700.0
401,3900.0
402,3300.0
403,2635.198123829111
404,187.44959001163716
405,1100.0
406,2100.0
407,2900.0
408,1761.0848803379786
409,51.6122977360792
410,-584.7658392967996
411,-670.5531163029018
412,-1642.8295241034875
413,-1990.5683800844126
414,-505.32329911421584
415,-934.8588941176113
416,-2124.8793454223846
417,-2528.112928524233
418,-3172.2281106441606
419,-3941.897043445264
420,-5171.284452297822
421,-5816.8738494984755
422,-6067.7704397110665
423,-6406.28174506556
424,-6986.598334973834
425,-6860.399315308747
426,-6926.963034533283
427,-7100.0
428,-7100.0
429,-6532.76784407261
430,-4742.168302674974
431,-3366.7935600882793
432,-3108.8157089622537
433,-4399.063625631832
434,-4937.175931285932
435,-5320.588254998259
436,-4397.21006789059
437,-3823.8305064383985
438,-2095.02581652357
439,-528.4679781787636
440,-1256.069617718446
441,-4623.956752986195
442,-7100.0
443,-7100.0
444,-7100.0
445,-5252.863580501686
446,-4002.167142135403
447,-3266.6715681254145
448,-3249.427859843459
449,-1691.614676409011
450,-1208.586492370585
451,-791.0274769609441
452,-2007.7007647802284
453,-3762.2154996168074
454,-4882.818492452955
455,-6611.260999458293
456,-7100.0
457,-7100.0
458,-7100.0
459,-7100.0
460,-7100.0
461,-7100.0
462,-7100.0
463,-6500.0
464,-6500.0
465,-7100.0
466,-7100.0
467,-7100.0
468,-7100.0
469,-7100.0
470,-7100.0
471,-7100.0
472,-7100.0
473,-6392.785019068156
474,-3237.0167253350883
475,466.6193448140302
476,1123.9405439466364
477,2721.590387784769
478,4480.227150521698
479,4922.205089279663
480,3700.0
481,-371.9607247862755
482,-3110.3844026047746
483,-4741.778556960048
484,-6449.571417180165
485,-7100.0
486,-7100.0
487,-6100.0
488,-6100.0
489,-5900.0
490,-2700.0
491,-2700.0
492,-3700.0
493,-3700.0
494,-3700.0
495,-3700.0
496,-3700.0
497,-3700.0
498,-3700.0
499,-4400.0
500,-5200.0
501,-3700.0
502,-3700.0
503,-3700.0
504,-3700.0
505,-3700.0
506,-3700.0
507,-3700.0
508,-3700.0
509,-3700.0
510,-3700.0
511,-3700.0
512,-7100.0
513,-7100.0
514,-7100.0
515,-7100.0
516,-7100.0
517,-7100.0
518,-7100.0
519,-7100.0
520,-7100.0
521,-7100.0
522,-7100.0
523,-7100.0
524,-7100.0
525,-7100.0
526,-7100.0
527,-6630.067046198776
528,-6579.992745886124
529,-6355.047405382899
530,-6283.794718282328
531,-6152.789333145428
532,-6042.076035925171
533,-5420.9068615902115
534,-4137.471855243215
535,-3154.271858958162
536,-2600.674920191316
537,-3227.0456987342886
538,-3629.948330352347
539,-3705.5795705175256
540,-4365.457079543054
541,-4420.048493622543
542,-4670.774529655642
543,-3950.821864945309
544,-2798.239143036036
545,-2580.1681635727195
546,-2904.42563822414
547,-3953.7717961212147
548,-4121.383209144203
549,-4270.939318912522
550,-3330.917709017006
551,-3675.250963439288
552,-3939.6770241091954
553,-3763.660419743728
554,-3287.0100102531414
555,-1675.321445344608
556,-437.79520749891344
557,1491.8019659546426
558,3300.0
559,4499.756675586008
560,5894.390754863091
561,5623.100120559567
562,4996.220887879336
563,4875.619941696525
564,5037.170997231262
565,4745.69601061868
566,4726.3346238870545
567,5524.539659062251
568,2500.0
569,2200.0
570,2300.0
571,2400.0
572,900.0
573,900.0
574,900.0
575,900.0
576,1400.0
577,1714.98090169863
578,2600.0
579,2700.0
580,2900.0
581,4200.0
582,4879.395714621945
583,6019.0481401666775
584,6326.900798192186
585,5800.0
586,6354.78943084285
587,6226.708992365465
588,5778.24312768638
589,5603.023462948907
590,5029.959127319726
591,4258.551850027401
