Timestep,Real trade demand focus country
148,-4200.0
149,-3700.0
150,-2900.0
151,-2700.0
152,-3500.0
153,-4800.0
154,-4600.0
155,-4500.0
156,-4300.0
157,-4500.0
158,-4900.0
159,-5600.0
160,-6100.0
161,-6100.0
162,-7100.0
163,-7100.0
164,-7100.0
165,-7100.0
166,-7100.0
167,-7100.0
168,-7100.0
169,-7100.0
170,-7100.0
171,-7100.0
172,-6400.0
173,-5300.0
174,-4114.13019909247
175,-3179.7536743041273
176,-2534.244282594244
177,-2262.59292444322
178,-2491.9582441721427
179,-1743.1414274016533
180,-354.2628335687623
181,-768.6619119402421
182,89.66629848553521
183,418.77302042519455
184,2500.0
185,1601.0050714703875
186,900.0
187,1040.7656302464816
188,1449.9571199965017
189,2690.6691952491906
190,3361.272514313252
191,2927.127424894186
192,2500.0
193,2800.0
194,3800.0
195,4100.0
196,3816.5066061724524
197,3800.0
198,2600.0
199,2205.369187781286
200,1900.0
201,1900.0
202,900.0
203,900.0
204,813.7739874407289
205,1100.0
206,1320.106059394156
207,1500.0
208,900.0
209,900.0
210,900.0
211,400.2219004929693
212,-422.60546056162
213,848.7024151346577
214,3080.330604086195
215,3300.0
216,3167.2000447350074
217,3613.4838131041083
218,4300.0
219,5300.0
220,5300.0
221,5300.0
222,5300.0
223,5575.707400352357
224,6369.124243157936
225,5830.971948457307
226,4838.02547660876
227,4207.444081839736
228,4293.8615936255455
229,3679.545435886963
230,3981.876299080585
231,5013.51522212352
232,5797.1522690799075
233,6093.929439608329
234,4571.969648062473
235,2440.509049472067
236,1700.0
237,2027.557408127093
238,2491.42234673494
239,3059.0519353336604
240,1098.1470267647892
241,79.9188217567239
242,-782.9254646485729
243,317.5902834542776
244,-470.79244631359416
245,-622.1659593232175
246,1570.9527078932601
247,2911.532425365379
248,3425.6411522293783
249,4300.0
250,3740.0429757475335
251,3428.9107140529195
252,2754.676092949633
253,2542.900380452189
254,900.0
255,900.0
256,1385.998734142491
257,3041.88948952659
258,2170.558370572119
259,1159.446854281699
260,2200.0
261,3300.0
262,2847.6397971027045
263,1675.7881001495266
264,910.395124001885
265,-435.4794306431886
266,-2068.5151519126503
267,-3250.0363730489325
268,-4679.759771312772
269,-3000.0
270,-3200.0
271,-5000.0
272,-5579.3949611754815
273,-6224.5811630183
274,-6881.629654335971
275,-7100.0
276,-6900.0
277,-7100.0
278,-7100.0
279,-7100.0
280,-7100.0
281,-6894.1017089297275
282,-5360.043259431994
283,-3962.5405216354047
284,-2911.8005082581412
285,-2739.2309130484846
286,-1693.1249836892866
287,-995.281635634381
288,-1005.7762066302648
289,190.42913911281357
290,-1198.8435966641873
291,-2843.4130660753126
292,-2531.681879313627
293,-2575.5585473938672
294,-2740.633080925949
