Timestep,Lambda value FC Submodel 1
885,147.0
886,147.0
887,147.0
888,146.5
889,146.5
890,146.5
891,146.5
892,131.7625000171
893,146.5
894,147.0
895,147.0
896,147.0
897,131.7625
898,102.0
899,101.5
900,96.4636
901,96.4636
902,96.4636
903,96.4636
904,101.5
905,131.3625
906,101.5
907,96.6636
908,96.4636
909,96.2636
910,96.2636
911,96.2636
912,96.0636
913,96.0636
914,95.8636
915,95.8636
916,95.8636
917,78.0
918,96.0636
919,96.26363637607271
920,96.26363637607271
921,96.26363637607271
922,96.26363637607271
923,96.0636
924,96.0636
925,95.8636
926,96.0636
927,96.26363637607271
928,96.4636
929,96.6636
930,96.6636
931,96.6636
932,96.4636
933,96.4636
934,96.6636
935,101.5
936,106.5
937,102.0
938,102.0
939,102.0
940,102.0
941,102.0
942,131.5625
943,131.5625
944,131.7625000171
945,131.5625
946,102.0
947,102.0
948,102.0
949,102.0
950,130.4125
951,131.7625000171
952,131.9625
953,8000.0
954,131.9625
955,131.7625000171
956,131.5625
957,102.0
958,102.0
959,102.0
960,102.0
961,96.4636
962,96.4636
963,96.26363637607271
964,96.4636
965,96.4636
966,101.5
967,101.5
968,101.5
969,101.5
970,96.4636
971,96.4636
972,96.4636
973,96.26363637607271
974,96.26363637607271
975,96.4636
976,102.0
977,118.8439955260157
978,118.8439955260157
979,118.8439955260157
980,101.5
981,96.4636
982,101.5
983,101.5
984,101.5
985,101.5
986,102.0
987,101.5
988,101.5
989,101.5
990,101.5
991,101.5
992,118.8439955260157
993,101.5
994,96.4636
995,96.26363637607271
996,96.26363637607271
997,96.2636
998,96.26363637607271
999,101.5
1000,102.0
1001,131.5625
1002,131.5625
1003,131.5625
1004,102.0
1005,102.0
1006,131.5625
1007,131.7625
1008,131.7625000171
1009,131.9625
1010,131.9625
1011,131.9625
1012,131.7625000171
1013,131.7625000171
1014,131.9625
1015,1210.0862822273718
1016,131.9625
1017,131.7625000171
1018,102.0
1019,102.0
1020,102.0
1021,102.0
1022,102.0
1023,131.7625
1024,146.5
1025,8000.0
1026,147.0
1027,146.5
1028,131.7625000171
1029,131.7625000171
1030,146.5
1031,146.5
1032,146.5
1033,131.5625
1034,106.727625013851
1035,102.0
1036,102.0
1037,131.5625
1038,131.5625
1039,131.7625000171
1040,131.7625000171
1041,131.7625000171
1042,131.5625
1043,102.0
1044,102.0
1045,102.0
1046,102.0
1047,102.0
1048,102.0
1049,102.0
1050,125.92592592592592
1051,101.5
1052,96.4636
1053,96.2636
1054,96.2636
1055,96.2636
1056,96.0636
1057,37.0
1058,37.0
1059,36.5
1060,37.0
1061,37.0
1062,37.0
1063,95.8636
1064,95.8636
1065,45.5
1066,37.0
1067,45.5
1068,95.8636
1069,77.5
1070,77.5
1071,96.0636
1072,96.2636
1073,96.2636
1074,96.2636
1075,96.0636
1076,37.0
1077,14.5
1078,14.5
1079,14.5
1080,14.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,14.0
1102,14.0
1103,14.5
1104,14.5
1105,96.0636
1106,96.0636
1107,96.0636
1108,96.0636
1109,96.26363637607271
1110,101.5
1111,102.0
1112,118.5
1113,119.0
1114,118.5
1115,102.0
1116,101.5
1117,101.5
1118,102.0
1119,102.0
1120,102.0
1121,102.0
1122,102.0
1123,96.4636
1124,96.0636
1125,96.0636
1126,96.0636
1127,96.0636
1128,95.8636
1129,77.9735454646189
1130,37.0
1131,14.5
1132,78.0
1133,78.0
1134,78.0
1135,78.0
1136,78.0
1137,78.0
1138,96.0636
1139,96.0636
1140,96.0636
1141,96.0636
1142,96.0636
1143,96.2636
1144,96.2636
1145,96.2636
1146,96.26363637607271
1147,96.26363637607271
1148,96.2636
1149,29.97
1150,37.0
1151,37.0
1152,14.5
1153,14.5
1154,14.5
1155,14.5
1156,14.5
1157,14.0
1158,14.0
1159,14.0
1160,14.0
1161,14.0
1162,14.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,14.0
1178,14.0
1179,14.5
1180,14.0
1181,14.0
1182,14.5
1183,14.5
1184,14.5
1185,14.5
1186,14.5
1187,14.5
1188,14.5
1189,14.5
1190,14.5
1191,14.5
1192,96.0636
1193,96.2636
1194,96.2636
1195,96.26363637607271
1196,96.2636
1197,96.0636
1198,96.26363637607271
1199,96.26363637607271
1200,96.26363637607271
1201,96.4636
1202,102.0
1203,102.0
1204,102.0
1205,102.0
1206,102.0
1207,119.0
1208,118.5
1209,102.0
1210,101.5
1211,96.26363637607271
1212,96.0636
1213,96.0636
1214,96.0636
1215,96.0636
1216,96.0636
1217,96.26363637607271
1218,96.26363637607271
1219,96.0636
1220,37.0
1221,17.5
1222,17.5
1223,14.5
1224,14.0
1225,14.0
1226,14.0
1227,14.0
1228,14.0
1229,14.0
1230,17.5
1231,21.5
1232,21.5
1233,14.5
1234,14.5
1235,14.5
1236,17.5
1237,14.5
1238,14.5
1239,14.5
1240,21.5
1241,56.5
1242,56.5
1243,37.0
1244,17.5
1245,17.5
1246,17.5
1247,17.5
1248,17.5
1249,14.0
1250,14.0
1251,14.0
1252,14.0
1253,14.0
1254,17.5
1255,17.5
1256,17.5
1257,17.0
1258,17.5
1259,14.0
1260,14.0
1261,14.0
1262,14.0
1263,14.0
1264,14.0
1265,14.0
1266,14.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,14.0
1279,14.5
1280,14.5
1281,14.5
1282,37.0
1283,37.0
1284,14.5
1285,14.5
1286,14.5
1287,14.5
1288,37.0
1289,96.0636
1290,96.0636
1291,17.5
1292,14.5
1293,14.5
1294,14.5
1295,14.5
1296,14.5
1297,14.0
1298,14.0
1299,14.0
1300,14.5
1301,14.5
1302,14.5
1303,14.5
1304,14.5
1305,14.5
1306,14.0
1307,14.0
1308,14.0
1309,14.0
1310,14.0
1311,14.0
1312,14.0
1313,14.5
1314,14.5
1315,14.5
1316,45.5
1317,45.5
1318,95.8636
1319,95.8636
1320,96.2636
1321,96.2636
1322,95.8636
1323,96.0636
1324,96.26363637607271
1325,96.26363637607271
1326,96.26363637607271
1327,96.26363637607271
1328,96.26363637607271
1329,96.26363637607271
1330,96.0636
1331,78.0
1332,37.0
1333,14.5
1334,14.5
1335,14.5
1336,96.0636
1337,96.26363637607271
1338,96.26363637607271
1339,96.26363637607271
1340,96.0636
1341,96.0636
1342,96.0636
1343,96.0636
1344,96.0636
1345,96.0636
1346,96.0636
1347,96.26363637607271
1348,96.26363637607271
1349,96.26363637607271
1350,96.4636
1351,102.0
1352,102.0
1353,101.5
1354,101.5
1355,96.4636
1356,96.4636
1357,96.26363637607271
1358,96.4636
1359,101.5
1360,101.5
1361,119.0
1362,119.0
1363,119.0
1364,119.0
1365,119.0
1366,119.0
1367,119.0
1368,102.0
1369,102.0
1370,101.5
1371,96.26363637607271
1372,96.0636
1373,96.0636
1374,96.0636
1375,96.26363637607271
1376,78.0
1377,17.5
1378,14.5
1379,14.5
1380,14.5
1381,96.0636
1382,96.0636
1383,96.2636
1384,96.26363637607271
1385,96.4636
1386,101.5
1387,96.26363637607271
1388,96.26363637607271
1389,96.2636
1390,96.2636
1391,96.0636
1392,96.0636
1393,77.9735454646189
1394,14.5
1395,14.5
1396,77.9735454646189
1397,78.0
1398,96.0636
1399,96.0636
1400,96.26363637607271
1401,96.26363637607271
1402,96.26363637607271
1403,96.2636
1404,96.2636
1405,96.0636
1406,96.0636
1407,96.26363637607271
1408,102.0
1409,102.0
1410,118.8439955260157
1411,119.0
1412,102.0
1413,102.0
1414,96.4636
1415,96.4636
1416,96.26363637607271
1417,96.26363637607271
1418,96.26363637607271
1419,96.4636
1420,96.4636
1421,96.4636
1422,119.5
1423,130.8125
1424,119.5
1425,119.0
1426,101.5
1427,101.5
1428,96.795
1429,96.4636
1430,96.795
1431,101.5
1432,102.0
1433,130.8125
1434,131.7625000171
1435,131.7625000171
1436,131.7625000171
1437,130.8125
1438,131.7625000171
1439,130.8125
1440,126.0
1441,119.0
1442,102.0
1443,102.0
1444,102.0
1445,102.0
1446,119.0
1447,126.0
1448,125.92592592592592
1449,119.0
1450,102.0
1451,101.5
1452,101.5
1453,101.5
1454,101.5
1455,102.0
1456,119.0
1457,130.8125
1458,131.7625000171
1459,130.8125
1460,119.0
1461,119.0
1462,119.0
1463,119.0
1464,102.0
1465,101.5
1466,96.4636
1467,96.4636
1468,96.4636
1469,101.5
1470,102.0
1471,102.0
1472,102.0
1473,101.5
1474,101.5
1475,96.26363637607271
1476,96.0636
1477,96.0636
1478,96.0636
1479,96.0636
1480,96.26363637607271
1481,96.4636
1482,96.4636
1483,96.26363637607271
1484,14.5
1485,14.5
1486,14.5
1487,14.5
1488,14.5
1489,14.5
1490,14.5
1491,14.5
1492,14.5
1493,37.0
1494,95.8636
1495,95.8636
1496,95.8636
1497,37.0
1498,14.5
1499,14.5
1500,14.5
1501,14.5
1502,14.5
1503,14.5
1504,14.5
1505,37.0
1506,96.0636
1507,96.0636
1508,96.0636
1509,96.0636
1510,96.0636
1511,96.26363637607271
1512,96.26363637607271
1513,96.4636
1514,96.4636
1515,96.4636
1516,96.4636
1517,102.0
1518,119.0
1519,119.0
1520,119.0
1521,119.0
1522,119.0
1523,119.0
1524,102.0
1525,102.0
1526,118.5
1527,119.0
1528,119.0
1529,119.0
1530,119.0
1531,101.5
1532,96.26363637607271
1533,96.26363637607271
1534,102.0
1535,102.0
